location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-07-08T12:00:00+09:00,2025-07-05T17:43:10.771760+09:00,24.0,,,clear,晴れ,0.0,73.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T13:00:00+09:00,2025-07-05T17:43:10.773661+09:00,24.0,,,clear,晴れ,0.0,72.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T14:00:00+09:00,2025-07-05T17:43:10.775479+09:00,24.0,,,clear,晴れ,0.0,72.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T15:00:00+09:00,2025-07-05T17:43:10.777289+09:00,23.0,,,clear,晴れ,0.0,72.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T16:00:00+09:00,2025-07-05T17:43:10.779099+09:00,22.0,,,clear,晴れ,0.0,73.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T17:00:00+09:00,2025-07-05T17:43:10.780919+09:00,21.0,,,clear,晴れ,0.0,74.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T00:00:00+09:00,2025-07-05T17:43:10.782770+09:00,25.0,,,partly_cloudy,晴れ時々くもり,0.0,0.0,0.0,"{'weather_code': '101', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T00:00:00+09:00,2025-07-05T17:43:10.784684+09:00,24.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T00:00:00+09:00,2025-07-05T17:43:10.786549+09:00,25.0,,,clear,晴れ,0.0,0.0,0.0,"{'weather_code': '100', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T00:00:00+09:00,2025-07-05T17:43:10.788443+09:00,22.0,,,partly_cloudy,晴れ時々くもり,0.0,0.0,0.0,"{'weather_code': '101', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-09T00:00:00+09:00,2025-07-05T17:43:10.790383+09:00,22.0,,,partly_cloudy,くもり時々晴れ,0.0,0.0,0.0,"{'weather_code': '201', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-10T00:00:00+09:00,2025-07-05T17:43:10.792925+09:00,20.0,,,partly_cloudy,くもり時々晴れ,0.0,0.0,0.0,"{'weather_code': '201', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-11T00:00:00+09:00,2025-07-05T17:43:10.795173+09:00,19.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-12T00:00:00+09:00,2025-07-05T17:43:10.797557+09:00,20.0,,,rain,くもり一時雨,0.0,0.0,0.0,"{'weather_code': '202', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-13T00:00:00+09:00,2025-07-05T17:43:10.799894+09:00,20.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-14T00:00:00+09:00,2025-07-05T17:43:10.802281+09:00,21.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-15T00:00:00+09:00,2025-07-05T17:43:10.804684+09:00,21.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
